warnings,steps,time,difference,activeCollisions,collisionStarts,characters,bodies,raycasts,clears,unblocks,explores,flees,pursues
1,35985,1681311937066,17,94,0,9,108,400,90,0,0,2,0
1,35986,1681311937082,16,94,1,9,108,400,47,0,0,2,0
1,35987,1681311937098,16,94,0,9,108,400,87,0,0,2,0
1,35988,1681311937114,16,93,2,9,108,400,47,0,0,2,0
1,35989,1681311937130,16,94,2,9,108,400,87,0,0,2,0
1,35990,1681311937148,18,96,1,9,108,400,87,0,0,2,0
1,35991,1681311937163,15,96,0,9,108,400,47,0,0,2,0
1,35992,1681311937179,16,96,1,9,108,400,87,0,0,2,0
1,35993,1681311937195,16,95,0,9,108,400,47,0,0,2,0
1,35994,1681311937211,16,95,2,9,108,400,87,0,0,2,0
1,35995,1681311937228,17,95,1,9,108,400,47,0,0,2,0
1,35996,1681311937244,16,96,1,9,108,400,87,0,0,2,0
1,35997,1681311937260,16,96,0,9,108,400,47,0,0,2,0
1,35998,1681311937277,17,95,1,9,108,400,87,0,0,2,0
1,35999,1681311937293,16,95,1,9,108,400,47,0,0,2,0
1,36000,1681311937309,16,96,0,9,108,400,87,0,0,2,0
1,36001,1681311937325,16,96,0,9,108,400,47,0,0,2,0
1,36002,1681311937341,16,95,2,9,108,400,87,0,0,2,0
1,36003,1681311937358,17,92,0,9,108,400,87,0,0,2,0
1,36004,1681311937374,16,92,5,9,108,400,47,0,0,2,0
1,36005,1681311937390,16,95,2,9,108,400,87,0,0,2,0
1,36006,1681311937407,17,97,2,9,108,400,47,0,0,2,0
1,36007,1681311937423,16,98,0,9,108,400,87,0,0,2,0
1,36008,1681311937439,16,94,2,9,108,400,47,0,0,2,0
1,36009,1681311937456,17,95,1,9,108,400,87,0,0,2,0
1,36010,1681311937472,16,96,1,9,108,400,47,0,0,2,0
1,36011,1681311937487,15,96,0,9,108,400,87,0,0,2,0
1,36012,1681311937504,17,95,1,9,108,400,47,0,0,2,0
1,36013,1681311937520,16,93,0,9,108,400,87,0,0,2,0
1,36014,1681311937537,17,93,2,9,108,400,47,0,0,2,0
1,36015,1681311937554,17,94,0,9,108,400,87,0,0,2,0
1,36016,1681311937571,17,94,1,9,108,400,104,1,0,1,0
1,36017,1681311937586,15,94,1,9,108,400,49,0,0,1,0
1,36018,1681311937602,16,93,2,9,108,400,88,0,0,1,0
1,36019,1681311937618,16,94,1,9,108,400,48,0,0,1,0
1,36020,1681311937634,16,94,2,9,108,400,88,0,0,1,0
1,36021,1681311937650,16,95,0,9,108,400,48,0,0,1,0
1,36022,1681311937667,17,95,1,9,108,400,88,0,0,1,0
1,36023,1681311937684,17,94,1,9,108,400,48,0,0,1,0
1,36024,1681311937700,16,95,2,9,108,400,86,0,0,1,0
1,36025,1681311937716,16,96,0,9,108,400,48,0,0,1,0
1,36026,1681311937732,16,96,1,9,108,400,86,0,0,1,0
1,36027,1681311937751,19,96,0,9,108,400,86,0,0,1,0
1,36028,1681311937766,15,95,1,9,108,400,48,0,0,1,0
1,36029,1681311937782,16,95,1,9,108,400,86,0,0,1,0
1,36030,1681311937799,17,96,1,9,108,400,48,0,0,1,0
1,36031,1681311937815,16,96,2,9,108,400,86,0,0,1,0
1,36032,1681311937831,16,97,2,9,108,400,48,0,0,1,0
1,36033,1681311937848,17,96,0,9,108,400,86,0,0,1,0
1,36034,1681311937864,16,96,4,9,108,400,48,0,0,1,0
1,36035,1681311937880,16,98,0,9,108,400,86,0,0,1,0
1,36036,1681311937896,16,98,1,9,108,400,48,0,0,1,0
1,36037,1681311937912,16,98,0,9,108,400,86,0,0,1,0
1,36038,1681311937928,16,98,1,9,108,400,48,0,0,1,0
1,36039,1681311937945,17,98,0,9,108,400,86,0,0,1,0
1,36040,1681311937961,16,98,1,9,108,400,87,0,0,1,0
1,36041,1681311937977,16,97,1,9,108,400,48,0,0,1,0
1,36042,1681311937992,15,98,2,9,108,400,87,0,0,1,0
1,36043,1681311938009,17,97,0,9,108,400,42,0,0,1,0
1,36044,1681311938025,16,97,2,9,108,400,83,0,0,1,0
1,36045,1681311938041,16,97,0,9,108,400,42,0,0,1,0
1,36046,1681311938057,16,97,2,9,108,400,83,0,0,1,0
1,36047,1681311938073,16,98,1,9,108,400,42,0,0,1,0
1,36048,1681311938090,17,99,1,9,108,400,86,0,0,1,0
1,36049,1681311938106,16,99,0,9,108,400,42,0,0,1,0
1,36050,1681311938122,16,99,1,9,108,400,89,0,0,1,0
1,36051,1681311938138,16,99,0,9,108,400,42,0,0,1,0
1,36052,1681311938155,17,99,2,9,108,400,95,0,0,1,0
1,36053,1681311938170,15,100,0,9,108,400,42,0,0,1,0
1,36054,1681311938186,16,100,1,9,108,400,95,0,0,1,0
1,36055,1681311938204,18,99,0,9,108,400,98,0,0,1,0
1,36056,1681311938221,17,99,2,9,108,400,42,0,0,1,0
1,36057,1681311938237,16,99,0,9,108,400,102,0,0,1,0
1,36058,1681311938252,15,99,3,9,108,400,42,0,0,1,0
1,36059,1681311938268,16,99,0,9,108,400,111,0,0,1,0
1,36060,1681311938284,16,99,3,9,108,400,42,0,0,1,0
1,36061,1681311938300,16,99,0,9,108,400,111,0,0,1,0
1,36062,1681311938317,17,99,3,9,108,400,42,0,0,1,0
1,36063,1681311938333,16,99,1,9,108,400,111,0,0,1,0
1,36064,1681311938349,16,98,3,9,108,400,42,0,0,1,0
1,36065,1681311938365,16,98,0,9,108,400,111,0,0,1,0
1,36066,1681311938381,16,98,2,9,108,400,42,0,0,1,0
1,36067,1681311938397,16,98,0,9,108,400,111,0,0,1,0
1,36068,1681311938413,16,98,2,9,108,400,42,0,0,1,0
1,36069,1681311938430,17,98,0,9,108,400,114,0,0,1,0
1,36070,1681311938447,17,98,2,9,108,400,114,0,0,1,0
1,36071,1681311938463,16,98,0,9,108,400,42,0,0,1,0
1,36072,1681311938480,17,98,2,9,108,400,114,0,0,1,0
1,36073,1681311938496,16,98,0,9,108,400,42,0,0,1,0
1,36074,1681311938512,16,98,2,9,108,400,114,0,0,1,0
1,36075,1681311938528,16,98,0,9,108,400,42,0,0,1,0
1,36076,1681311938544,16,98,2,9,108,400,117,0,0,1,0
1,36077,1681311938561,17,98,1,9,108,400,42,0,0,1,0
1,36078,1681311938576,15,99,2,9,108,400,117,0,0,1,0
1,36079,1681311938592,16,99,0,9,108,400,42,0,0,1,0
1,36080,1681311938608,16,99,2,9,108,400,117,0,0,1,0
1,36081,1681311938625,17,99,0,9,108,400,42,0,0,1,0
1,36082,1681311938641,16,99,2,9,108,400,110,0,0,1,0
1,36083,1681311938659,18,99,1,9,108,400,110,0,0,1,0
1,36084,1681311938675,16,100,2,9,108,400,42,0,0,1,0
1,36085,1681311938691,16,100,0,9,108,400,110,0,0,1,0
1,36086,1681311938707,16,99,2,9,108,400,42,0,0,1,0
